External_Id__c,Owner.External_Id__c,Account.External_Id__c,Subject,Description,Status_Options,First_Contact_Close__c,DateTime_Opened_c__c,DateTime_Closed_c__c,Status,Product_Family_KB__c,CSAT__c,Origin,Priority,Reason,Type_of_Support__c,Milestone_Status__c,BusinessHours.Name
W_Case.00001,W_User.00009,W_Account.00021,Projector getting over heated,Need to replace the exhaust fan,Working,false,2015-10-01 14:22:38,2015-10-03 14:22:38,Working,Hotspot Services,0,Email,Low,Mail delivery issue,Premium,Open - Compliant,Asia
W_Case.00002,W_User.00008,W_Account.00088,Customer service hours of operation.,Can you please tell me when a customer service representative will be available to talk with me?  I have a complex issue that I think is best handled over the phone.  Thank you.,Escalated,false,2016-10-16 08:44:12,2016-10-21 08:44:12,Escalated,Enterprise,0,Community,Low,Software Issue,Standard,Open - Compliant,Asia
W_Case.00003,W_User.00015,W_Account.00017,Facebook Message from: Larry Baxter,"I've been a loyal customer for quite some time now, and I'd like to know if there's any program for recognizing and rewarding customers like me?",On Hold,false,2016-05-31 11:12:03,2016-06-05 11:12:03,On Hold,Hotspot Services,0,Phone,Low,Problem Resolved,Standard,Open - Compliant,24/7 Follow-The-Sun Service
W_Case.00004,W_User.00019,W_Account.00065,Please send shipping confirmation.,"I placed an order last week, but still haven't received a shipping confirmation.  Can you please sent it to me?",Closed,false,2015-07-23 15:16:33,2015-08-01 15:16:33,Closed,Headphones,75,Facebook,Medium,Software Issue,Standard,Closed - Compliant,Asia
W_Case.00005,W_User.00011,W_Account.00013,How can I request a new feature?,"I have an idea for a new feature, and I'd like to share it with you.  What's the best way to do that?",Waiting on Customer,false,2015-11-29 23:43:57,2015-12-11 23:43:57,Waiting on Customer,Hotspot Services,0,Email,Critical,Problem Resolved,Premium,Open - Compliant,Australia and New Zealand
W_Case.00006,W_User.00016,W_Account.00060,How do I get started with your service?,"Now that I've signed up, what do I do next?",Attention,false,2016-07-21 15:55:37,2016-07-27 15:55:37,Attention,Enterprise,0,Community,Low,Software Issue,Standard,Open - Compliant,North America
W_Case.00007,W_User.00019,W_Account.00082,Please expedite my order.,What are my options for receiving my order more quickly?  Can I pay an expediting fee?,Closed in Community,false,2015-02-06 22:45:41,2015-02-06 22:45:41,Closed in Community,Consumer,62,Email,Low,Mail delivery issue,Standard,Closed - Compliant,24/7 Follow-The-Sun Service
W_Case.00008,W_User.00010,W_Account.00069,Where do I get your mobile app?,"I'd like to use your mobile app, but I'm not sure where to get it.  Can you point me in the right direction?",Working,false,2016-02-28 07:55:16,2016-02-28 07:55:16,Working,Consumer,0,Email,Medium,Documentation Issue,Standard,Open - Compliant,Australia and New Zealand
W_Case.00009,W_User.00006,W_Account.00074,I have a question about my contract.,Is there any sort of penalty for early renewal?  I can't seem to find anything about it.,Closed,true,2016-11-23 14:52:58,2016-11-27 14:52:58,Closed,Consumer,62,Community,Low,Hardware Issue,Standard,Closed - Compliant,Europe and the Middle East
W_Case.00010,W_User.00006,W_Account.00056,Can I access your community from my mobile device?,"If I want to participate in your community from the road, can I do it from my mobile device?",Waiting on Customer,false,2015-02-25 07:00:13,2015-02-25 07:00:13,Waiting on Customer,Enterprise,0,Phone,Low,Existing problem,Standard,Open - Compliant,Australia and New Zealand
